예보일시,시도명,시군구명,읍면동명,실효습도,풍속,등급
2017-02-02 12:00,전라남도,여수시,소라면,33.2,7.6,주의보
2017-02-02 12:00,전라남도,여수시,소라면,32.5,8,주의보
2017-02-02 12:00,전라남도,여수시,화양면,34.9,7.2,주의보
2017-02-02 12:00,전라남도,여수시,화양면,35.1,7.3,주의보
2017-02-02 12:00,전라남도,여수시,화양면,34.4,7.6,주의보
2017-02-02 12:00,전라남도,여수시,화정면,36.9,7,주의보
2017-02-02 12:00,전라남도,여수시,화정면,35.8,7.1,주의보
2017-02-02 12:00,전라남도,순천시,별량면,36.3,7,주의보
2017-02-02 12:00,전라남도,순천시,별량면,32.7,7.2,주의보
2017-02-02 12:00,전라남도,보성군,벌교읍,40.2,9.6,주의보
2017-02-02 12:00,경상북도,김천시,어모면,41.2,7.3,주의보
2017-02-02 12:00,경상북도,울진군,평해읍,40.7,7.4,주의보
2017-02-02 12:00,경상북도,울진군,기성면,41.5,8.3,주의보
2017-02-02 12:00,경상북도,울진군,기성면,41.3,7.2,주의보
2017-02-02 12:00,경상북도,울진군,온정면,40.9,7.1,주의보
2017-02-02 13:00,강원도,강릉시,박월동,37.1,9.2,주의보
2017-02-02 13:00,강원도,강릉시,구정면,32,7.2,주의보
2017-02-02 13:00,전라남도,여수시,오림동,31.8,8.9,주의보
2017-02-02 13:00,전라남도,여수시,경호동,30.2,8.7,주의보
2017-02-02 13:00,전라남도,여수시,신기동,32.8,9.6,주의보
2017-02-02 13:00,전라남도,여수시,평여동,34.7,9.3,주의보
2017-02-02 13:00,전라남도,여수시,월내동,36.5,7.3,주의보
2017-02-02 13:00,전라남도,여수시,호명동,33.1,8.3,주의보
2017-02-02 13:00,전라남도,여수시,돌산읍,29.7,7.9,주의보
2017-02-02 13:00,전라남도,여수시,돌산읍,29.7,7.6,주의보
2017-02-02 13:00,전라남도,여수시,돌산읍,33.8,8.2,주의보
2017-02-02 13:00,전라남도,여수시,소라면,33,9.9,주의보
2017-02-02 13:00,전라남도,여수시,소라면,32.6,8.5,주의보
2017-02-02 13:00,전라남도,여수시,소라면,33.2,9.4,주의보
2017-02-02 13:00,전라남도,여수시,소라면,32.4,9.1,주의보
2017-02-02 13:00,전라남도,여수시,율촌면,30,7,주의보
2017-02-02 13:00,전라남도,여수시,화양면,34.1,8.8,주의보
2017-02-02 13:00,전라남도,여수시,화양면,34.6,7.6,주의보
2017-02-02 13:00,전라남도,여수시,화양면,34.8,7.7,주의보
2017-02-02 13:00,전라남도,여수시,남면,38.1,7.4,주의보
2017-02-02 13:00,전라남도,여수시,화정면,36.6,7.6,주의보
2017-02-02 13:00,전라남도,여수시,화정면,35.5,8,주의보
2017-02-02 13:00,전라남도,보성군,벌교읍,39.7,8.5,주의보
2017-02-02 13:00,경상북도,영덕군,병곡면,36.1,7.1,주의보
2017-02-02 13:00,경상북도,울진군,평해읍,40.3,8.7,주의보
2017-02-02 13:00,경상북도,울진군,기성면,41,9.1,주의보
2017-02-02 13:00,경상북도,울진군,온정면,40.4,8.1,주의보
2017-02-02 13:00,경상북도,울진군,후포면,35.9,7.7,주의보
2017-02-02 16:00,강원도,강릉시,박월동,36.6,8.6,주의보
2017-02-02 16:00,전라남도,여수시,오림동,31,7.9,주의보
2017-02-02 16:00,전라남도,여수시,경호동,29.4,7.5,주의보
2017-02-02 16:00,전라남도,여수시,신기동,32.1,7.4,주의보
2017-02-02 16:00,전라남도,여수시,평여동,34,7.2,주의보
2017-02-02 16:00,전라남도,여수시,월내동,35.6,7.5,주의보
2017-02-02 16:00,전라남도,여수시,호명동,32.3,7.8,주의보
2017-02-02 16:00,전라남도,여수시,돌산읍,30.9,7.9,주의보
2017-02-02 16:00,전라남도,여수시,돌산읍,29,7.2,주의보
2017-02-02 16:00,전라남도,여수시,돌산읍,28.9,7.4,주의보
2017-02-02 16:00,경상북도,김천시,어모면,39.5,7.3,주의보
2017-02-02 16:00,경상북도,울진군,기성면,39.8,7,주의보
2017-02-02 16:00,경상남도,남해군,서면,38.7,7.1,주의보
2017-02-02 16:00,경상남도,남해군,서면,31,7.4,주의보
2017-02-02 17:00,강원도,강릉시,박월동,36.6,9,주의보
2017-02-02 17:00,강원도,강릉시,구정면,31.6,7,주의보
2017-02-02 17:00,전라남도,여수시,오림동,30.8,7.2,주의보
2017-02-02 17:00,전라남도,여수시,평여동,33.8,7,주의보
2017-02-02 17:00,전라남도,여수시,월내동,35.4,7.5,주의보
2017-02-02 17:00,전라남도,여수시,호명동,32,7.5,주의보
2017-02-02 17:00,전라남도,여수시,돌산읍,30.6,7.3,주의보
2017-02-02 17:00,경상북도,울진군,기성면,39.6,7.3,주의보
2017-02-02 17:00,경상남도,남해군,서면,30.8,7.3,주의보
2017-02-02 17:00,경상남도,남해군,서면,38.5,7.5,주의보
2017-02-02 18:00,강원도,강릉시,강동면,36.5,9.8,주의보
2017-02-02 18:00,전라남도,여수시,돌산읍,30.4,7,주의보
2017-02-02 18:00,전라남도,여수시,화정면,34.8,7,주의보
2017-02-02 19:00,전라남도,여수시,돌산읍,30.2,8.5,주의보
2017-02-02 20:00,전라남도,여수시,돌산읍,30.1,8.6,주의보
